,Cycle Indicator Global,Eurozone Retail Sales,Eurozone Industrial Production exconstr,Eurozone Industrial Production manuf,US Privately Owned Housing Starts,US HomeBuilders Market Index,US Indus Prod Index,US JoblessClaims Seasonally Adjusted,US U6 Unemp Rate,World EPS forecast 3M Change,US M1 Growth YOY,RealUS M1 Growth YOY,FED Excess Reserves,ECB Balance Sheet,Real Yield US,US 10yr Rate,Germany 10yr Rate,EU 10Y 2Y Curve,US 10Y 2Y Curve,Fed Fwd 6 Month,Fed Fwd 12 Month,Chinese Oil Imports,Japanese Export China,Industrial Metal Prices,US Core CPI,Inflation Surprise Global,US Breakeven Inflation,US PCE YOY, US Financial Conditions Index A, US Financial Conditions Index B, EU Financial Conditions Index A, EU Financial Conditions Index B,US IG Spreads,US HY Spreads,EU IG Spreads,EU HY Spreads,US Credit Standards,Global Equity 3 Month Momentum,Global Equity 6 Month Momentum,Global Equity 12 Month Momentum,Vix Index,Commercial Paper Spread,V2x Index,Eonia Spread,Equity Risk Premia,Sentiment Macro Fundamentals Global News Social,Sentiment Consumer Sentiment Global News Social,Sentiment Economic Growth Global News Social,Sentiment Trade Balance Global News Social,Sentiment environmental composite GLOBAL News,Sentiment social composite GLOBAL News,Sentiment governance composite GLOBAL News,Sentiment governance composite GLOBAL News Social,Sentiment social composite GLOBAL News Social,Sentiment environmental composite GLOBAL News Social,Idx_Price
US M1 Growth YOY,-0.1483971240028039,0.3251438294036572,-0.23960429075699732,-0.16716499778971092,0.08380501762445781,0.11080188052589754,-0.09632871343075639,0.7210552175055814,0.2794957139772747,-0.2463173268445811,1.0,0.7440009475686724,0.3342401804445381,0.499770592319332,-0.3345118364416084,-0.40117033735200774,-0.33031197360144743,-0.19382023535637416,-0.08280512191811232,-0.2359534673298681,-0.26120688527186703,-0.05149367811667169,-0.10522205201144327,0.0024779597737028224,-0.19016476062124765,-0.13993213223854808,-0.2682081250515755,-0.23935924428548658,-0.1789064123857907,-0.023922265621122277,0.14368243537061473,-0.024084121024075825,0.08516762997162984,0.033565984284413285,0.09560260020242951,-0.014016465047753585,0.3402912211497799,0.06801295175868825,0.0038902695729755216,-0.02758061425324325,0.22603151371780725,-0.08623339164712167,0.12617845528874777,-0.2572962615234634,0.19922578221078968,-0.04548305793716643,0.09021050856548313,-0.12412308384109674,-0.038523327787899395,-0.1032332118459909,0.041466115199019896,0.17562254353778664,0.10607138534173188,0.03606218803108437,-0.11757907056186445,0.3304551121681595
RealUS M1 Growth YOY,-0.2858298064083551,0.2096822794186494,-0.34318782031041933,-0.2501230961602019,0.11313324036763414,-0.12090552774824326,-0.1163905187638229,0.5698448801528683,0.5803150083214751,-0.3606578530587197,0.7440009475686724,1.0,0.5875599308193113,0.49424894624220933,-0.5377278584521737,-0.6127161251933693,-0.46492278528152237,0.14105505905182172,0.27143908824180923,-0.5901464145444842,-0.607936031054826,-0.2209066585382173,-0.3402222099276305,0.09262529022125786,-0.3821128624702002,-0.3308066950328944,-0.3502839927070497,-0.5938192963064707,0.028595973349019567,-0.11973628827746735,0.34281279840807755,-0.1931958220932933,0.3437345908225009,0.20744195599046608,0.40916705068707243,0.11630017474078755,0.22794124604248475,0.0901008282590935,0.08099943147584548,-0.12110033553811918,0.19562596028312235,-0.06940248343103404,0.17464077660725413,-0.5079535557490538,0.4742470208075277,-0.13878656722748126,0.36972123318011085,-0.07167878838554294,-0.052192710801008395,-0.3659215999109277,0.0811035061488358,0.28058117183043374,0.27790597013574164,0.050089850825928484,-0.4053212659351815,0.18289925708652663
FED Excess Reserves,0.16958954671233575,0.4557502695394082,0.09108701455737188,0.24434973570967497,0.4050715346080075,0.1163120116807033,0.49746937338680997,0.11794533024572863,0.31215367520526566,-0.06812780130562684,0.3342401804445381,0.5875599308193113,1.0,0.7843362921706996,-0.8163707078735596,-0.8691215250975279,-0.9148571708619713,0.05302571447522978,0.09869713489687235,-0.6648574621661582,-0.7880939588970968,-0.31041012360642173,-0.3597301057823038,0.17083288097600022,-0.3332263793247086,-0.4379270091693165,-0.3074853735846801,-0.47106122505202425,-0.26742907976865005,0.2558729697752439,0.1872096100668679,0.04330373161256187,0.04246121876531676,-0.169722336194129,0.25886172442541383,-0.28612708361413525,-0.24599998744088047,0.09987863547288975,0.09542997498026543,0.09683963986404004,-0.2519869160686107,-0.2143717512508372,-0.22681538017323918,-0.8852814411435118,0.6695631742676952,-0.38338009863908984,0.4775506783512721,-0.11103005880981553,-0.11208634256806606,-0.5378329338281448,-0.39591354225613123,0.053438629620173324,0.06101384567563788,-0.39650064816197783,-0.5513657021951305,0.5257432114818095
ECB Balance Sheet,0.1583256632299746,0.7837195579694752,0.30116382080399917,0.44163777291800244,0.24535315417464687,0.20412989377808868,0.4870380833092473,0.25958655881475134,0.09517159350693381,-0.07580677644987696,0.499770592319332,0.49424894624220933,0.7843362921706996,1.0,-0.7252543123633481,-0.8063922131430468,-0.9060367545350775,-0.17101223318938447,-0.23745338249705977,-0.43612375947400805,-0.5854525495062242,-0.27684692255916443,-0.36481238814965566,0.18669251027758413,-0.1340100231458215,-0.205581077387232,-0.3391803176416617,-0.2391861762612004,-0.3129173176525306,0.18600145300595647,0.20028066289488883,-0.0065444224018080385,-0.05849621268799598,-0.18438813434537366,0.2314899742217983,-0.26146731615971847,-0.024280901329888013,0.056645549341695405,0.04796477904260028,0.04890378918322864,-0.1415161824081772,-0.09906382404608988,-0.25951066273648044,-0.7912604822766601,0.6170706541175467,-0.37963541945730106,0.11836074971378371,-0.3854277706453933,-0.2614141534320596,-0.4502914597672257,-0.5326972828124716,-0.16906203839727063,-0.22308138240603229,-0.5108894186178395,-0.44520625828270916,0.6697392874220722
Real Yield US,0.007744857238020357,-0.5281387208848107,-0.17574937525732817,-0.27542496089360047,-0.4544933614295661,0.0805402491341835,-0.4826012163972138,-0.16626817480144837,-0.49234943145658355,-0.006165951899248478,-0.3345118364416084,-0.5377278584521737,-0.8163707078735596,-0.7252543123633481,1.0,0.9502756317326534,0.8543018457559959,-0.1861839151246715,-0.23049119621339592,0.7732647507984269,0.8532365567363643,0.5091259355680987,0.3909325820855042,-0.39896349766760086,0.42505589060024995,0.355412226303229,-0.005678700789943376,0.27163663869516763,0.19659152736223573,-0.19648903718122135,-0.5307962666257678,0.029854702801809633,-0.05471549268965329,0.1793041796322118,-0.3914146928307956,0.26554880129112546,0.36230336127650514,-0.15834821688811718,-0.17117229049861632,-0.1746889897516034,0.28847397368896466,0.16532789290246486,0.23672218649479318,0.8644727126093795,-0.847684916526652,0.20450372941720646,-0.31691336152469113,0.1043302003535132,0.06209823058124825,0.6960183168248651,0.23068828901697908,-0.2633953621459367,-0.22506590213157066,0.2798690777653054,0.6961500349373605,-0.36422745450655397
US 10yr Rate,0.09845992173609257,-0.5801713314205675,-0.14474947276874137,-0.26751683843151036,-0.3680234107396078,0.043036005064362504,-0.42293667939496615,-0.2592641815603606,-0.45341699580899325,0.21932540306337556,-0.40117033735200774,-0.6127161251933693,-0.8691215250975279,-0.8063922131430468,0.9502756317326534,1.0,0.9101195087441963,-0.11019784258074256,-0.1987979474257957,0.8062202079980114,0.8468224902167109,0.4968674843095496,0.4479526455634466,-0.26530933210102076,0.3625603940351817,0.38231195580960065,0.29957711703857043,0.40620180181069426,0.06351290134726438,-0.03709521202420114,-0.4927866632051955,0.16579236632660677,-0.22712365840418638,-0.010092625570133521,-0.4808774396425188,0.10974110259126806,0.14572624430323122,-0.03804083676976802,0.014992700443908226,0.03778824310011292,0.09891763028127493,0.08381518354614029,0.07047424075781902,0.8740649811468548,-0.8767797640026538,0.4252007065734891,-0.23073021767368787,0.29242110755177353,0.2194379316749557,0.6602188681557644,0.2892456218490253,-0.1518141362651582,-0.09584527740991308,0.3247387410952445,0.666484768831111,-0.34826760295296055
Germany 10yr Rate,-0.22887643461806778,-0.6951654296131144,-0.2822655130692862,-0.4270304770074843,-0.38556038102225393,-0.21943270561329012,-0.6066683244655469,-0.10995716201024197,-0.15018695747884966,0.027806811118364066,-0.33031197360144743,-0.46492278528152237,-0.9148571708619713,-0.9060367545350775,0.8543018457559959,0.9101195087441963,1.0,0.08019738003339345,0.10289544856074186,0.5794190399986043,0.717852807441945,0.37638321640450084,0.4056436364072482,-0.1860664423206476,0.23018993723492057,0.38559847169420514,0.282567172110691,0.29330323217900645,0.28590843212672273,-0.2943509395045768,-0.20852588261578492,-0.09360359304547275,0.07197568118226944,0.2556657181247967,-0.20719294951779885,0.35551690952229836,0.2586032610920004,-0.10113014702263504,-0.0889127694617933,-0.1049660432923416,0.32024752254218963,0.19636688883340278,0.3361368997753286,0.9143276119058417,-0.6981300954771594,0.4185775496400283,-0.2620854067064251,0.2479427894225514,0.2122261801916177,0.5718762809489154,0.5538622684672517,0.05799423718476726,0.1348658838336872,0.564275242069152,0.5554506729599135,-0.6241734781210887
EU 10Y 2Y Curve,-0.20275402705388332,-0.3682869666268329,-0.5367307266992025,-0.5517531248574113,0.24156691347628007,-0.2684768146833472,-0.4888183950489196,-0.06555906946818613,0.6317366272149016,0.041467412255447,-0.19382023535637416,0.14105505905182172,0.05302571447522978,-0.17101223318938447,-0.1861839151246715,-0.11019784258074256,0.08019738003339345,1.0,0.8094797240458115,-0.5686942290102392,-0.3600191440699701,-0.05313408174881743,0.045084531661477106,-0.09894723135497945,-0.6624468125229787,-0.25585167738688275,0.12108292238562472,-0.480115727077879,0.43662330779618536,-0.1408897907613151,0.49905071336975504,-0.20541796747055507,0.32761428708578166,0.25972996131180776,0.39934059127831584,0.2591521781155997,-0.22538644652019443,0.15579691324951087,0.14482145966626384,0.014836076253178156,0.10803935767926759,-0.24498958732866932,0.24513880447524247,-0.2919272457998968,0.25154577533685085,0.05146089712297986,0.29852836635528984,0.21926026418846237,0.2371635572969847,-0.06099639896809404,0.49016652927235016,0.26094373214400207,0.4640074730033065,0.5009049483999143,-0.10350988411785828,-0.5145264566535883
US 10Y 2Y Curve,-0.4640997564190142,-0.3390590100171524,-0.44577375338856673,-0.46532608841651735,0.1167843108053998,-0.43154158194723874,-0.43360229810610834,0.06589698401456928,0.7034210758781876,-0.18606714272813393,-0.08280512191811232,0.27143908824180923,0.09869713489687235,-0.23745338249705977,-0.23049119621339592,-0.1987979474257957,0.10289544856074186,0.8094797240458115,1.0,-0.7292026192210909,-0.41405432477455806,-0.2715315848001318,0.08407734067089741,0.011637168332899888,-0.6283057556190274,-0.24774088957034593,-0.03153040651480097,-0.5207427609608343,0.5417433250226685,-0.3456529327344036,0.5799603459896899,-0.3696507800094714,0.5446162718298571,0.45218338099809513,0.49127114720887777,0.44331330442420264,-0.004606322424061889,0.029924643350192046,-0.01703135788621291,-0.13967961230125814,0.27114399814091,-0.06509524154005715,0.44583178323068995,-0.16556208380487658,0.3293887416184384,-0.13542955413500868,0.19243486947776306,0.11692631389192269,0.2212083588579413,-0.1184057415691058,0.520517598979325,0.3365697823632487,0.47206672963753027,0.5048708298572251,-0.1568182299084203,-0.6254285267391142
Fed Fwd 6 Month,0.3245515254844254,-0.20144006350647833,0.19282846006223656,0.11273524111838223,-0.33747671426230713,0.23074890757440045,-0.0038846788028890178,-0.2260899855703368,-0.703713094019334,0.28643784567763486,-0.2359534673298681,-0.5901464145444842,-0.6648574621661582,-0.43612375947400805,0.7732647507984269,0.8062202079980114,0.5794190399986043,-0.5686942290102392,-0.7292026192210909,1.0,0.8133823656016977,0.4965527160507013,0.27248097747494365,-0.11690967636758753,0.6121684820300641,0.4411178941894352,0.2801293046860144,0.6246111434100785,-0.30374281555038285,0.1822758008868075,-0.6588479955255292,0.3304336458335522,-0.4917537493673685,-0.29250449053312,-0.6117177215264192,-0.21232010805633625,0.07388720431601645,-0.039262888895420345,0.03916462462968134,0.14220849952763617,-0.11014764116132739,0.12594399697508513,-0.23372080740623472,0.7190495907879626,-0.7829604614230077,0.43014486495029236,-0.269908127222609,0.14987837309752233,0.040445849095867493,0.4769573521892006,-0.08929359528489136,-0.2446737856380876,-0.29551676712664426,-0.0672600506602695,0.5030177088350806,0.1360166389539587
Fed Fwd 12 Month,0.18609583292521265,-0.349390424471487,0.024024686852705028,-0.06892768828104381,-0.2528599933108807,0.29361709030296107,-0.2630150832074463,-0.18480725270529394,-0.6673548678654786,0.11705985478220061,-0.26120688527186703,-0.607936031054826,-0.7880939588970968,-0.5854525495062242,0.8532365567363643,0.8468224902167109,0.717852807441945,-0.3600191440699701,-0.41405432477455806,0.8133823656016977,1.0,0.3406836752694094,0.49148638156040253,-0.3814246103737452,0.5969994386832865,0.30930884281681614,0.12960402072631394,0.5494606952908303,0.05371150295117192,0.04296269320803505,-0.5771638611399049,0.2299343089540668,-0.2799367027096041,-0.04547624499750459,-0.5760367962485738,0.1327117196972606,0.20086238795529127,-0.12185406003416525,-0.11681581811264445,-0.11401842735087414,0.0774277894122788,-0.030979176141751722,0.10083536081200803,0.8124230419911623,-0.8387533946245751,0.19431784821332732,-0.44696476162645804,0.06616682251606167,0.15813183943643522,0.727254637954975,0.03257346224502847,-0.3754109918793547,-0.3859618881190724,0.0731483023200869,0.72787627381557,-0.20560252985001606
